Fator RITMO,Palavra Afetiva,Frequência,Valência Média (ANEW),Ativação Média (ANEW)
Intenso,paz,184,8.64,3.71
Intenso,deus,112,8.11,3.8
Intenso,verdade,101,8.56,3.46
Intenso,vivo,74,8.34,4.7
Intenso,carro,70,7.95,4.36
Intenso,casa,67,8.14,3.35
Intenso,mãe,63,8.75,3.31
Intenso,gosto,61,7.57,4.31
Intenso,novo,59,7.96,4.94
Intenso,enfermeira,54,5.33,4.39
Intenso,rio,52,6.94,3.92
Movimento,deus,251,8.11,3.8
Movimento,gosto,147,7.57,4.31
Movimento,louco,136,3.87,4.9
Movimento,novo,131,7.96,4.94
Movimento,rico,131,6.49,4.21
Movimento,maravilha,130,6.8,3.72
Movimento,amor,114,8.75,4.39
Movimento,beijo,99,8.76,5.24
Movimento,corpo,83,6.94,4.67
Movimento,feliz,76,8.69,4.13
Movimento,menino,75,7.36,4.77
Movimento,nome,74,7.5,3.53
Movimento,mulher,63,6.57,3.89
Movimento,brabo,57,2.26,6.05
Movimento,casa,57,8.14,3.35
Movimento,verdade,50,8.56,3.46
Movimento,talento,48,8.31,5.04
Movimento,amigo,46,8.74,3.68
Movimento,pecado,45,3.29,4.23
Movimento,homem,44,6.85,4.47
Movimento,horrível,43,1.98,5.55
Movimento,mês,43,6.11,3.9
Orgânico,paz,291,8.64,3.71
Orgânico,feliz,282,8.69,4.13
Orgânico,gosto,202,7.57,4.31
Orgânico,deus,176,8.11,3.8
Orgânico,amor,174,8.75,4.39
Orgânico,coração,117,7.73,4.88
Orgânico,verdade,102,8.56,3.46
Orgânico,menino,91,7.36,4.77
Orgânico,novo,90,7.96,4.94
Orgânico,mãe,85,8.75,3.31
Orgânico,rio,80,6.94,3.92
Orgânico,amarelo,78,6.76,3.11
Orgânico,céu,78,8.1,2.76
Orgânico,homem,73,6.85,4.47
Orgânico,forte,70,7.66,4.66
Orgânico,praia,69,8.29,4.64
Orgânico,guerra,62,1.61,6.79
Orgânico,flor,60,8.11,3.17
Orgânico,desejo,56,7.78,5.06
Orgânico,água,54,8.35,3.0
Orgânico,povo,53,6.22,4.87
Orgânico,massa,52,7.13,2.99
Reflexo,gosto,296,7.57,4.31
Reflexo,amor,287,8.75,4.39
Reflexo,coração,274,7.73,4.88
Reflexo,deus,144,8.11,3.8
Reflexo,beijo,90,8.76,5.24
Reflexo,nome,84,7.5,3.53
Reflexo,mulher,78,6.57,3.89
Reflexo,abraço,68,8.77,3.38
Reflexo,planta,61,7.83,3.22
Reflexo,vitória,59,8.74,5.36
Reflexo,feliz,57,8.69,4.13
Reflexo,menina,54,7.1,3.26
Reflexo,medo,52,2.13,6.36
Reflexo,verdade,52,8.56,3.46
Reflexo,corpo,50,6.94,4.67
Reflexo,mãe,49,8.75,3.31
Reflexo,paz,48,8.64,3.71
Tradição,amor,279,8.75,4.39
Tradição,inferno,119,3.81,4.88
Tradição,deus,116,8.11,3.8
Tradição,lixo,77,2.48,5.14
Tradição,gosto,65,7.57,4.31
Tradição,talento,61,8.31,5.04
Tradição,povo,53,6.22,4.87
Tradição,novo,53,7.96,4.94
Tradição,coração,51,7.73,4.88
Tradição,melodia,45,7.73,4.51
Tradição,casa,43,8.14,3.35
Tradição,momento,43,7.09,4.57
Tradição,horrível,41,1.98,5.55
Tradição,vício,36,2.16,5.82
