Fator RITMO,Palavra-Chave Afetiva,Frequência de Ocorrência,Valência Média (ZS),Ativação Média (ZS),valencia_jitter,ativacao_jitter
Intenso,foda,570,2.25,3.11,2.273131359194795,3.1644723469472003
Intenso,grande,260,2.93,2.97,2.9687926870040404,2.994111419989919
Intenso,saudade,211,2.53,2.83,2.499442185783603,2.838088836752081
Intenso,merda,210,1.28,2.96,1.355648496796439,2.9896221080095398
Intenso,bons,161,2.98,2.7,3.0369577991782046,2.6278807074086816
Intenso,descanse,137,2.39,1.82,2.4592791751705234,1.8039958227255488
Intenso,delicia,107,3.15,2.9,3.1232960818634328,2.9218400690964574
Intenso,triste,85,1.52,2.76,1.5674304229478033,2.7311500078162263
Intenso,sozinho,39,2.85,2.9,2.921247684305964,2.942315983764525
Intenso,tristeza,32,2.19,2.75,2.2463157879602584,2.7009274078556396
Movimento,maravilha,122,2.71,2.93,2.7835111798489445,2.868117928485007
Movimento,louco,116,2.08,2.84,2.0934531160327583,2.8376414054856376
Movimento,dançando,105,2.54,2.77,2.557813521606956,2.833591679388853
Movimento,charmosa,87,2.43,2.68,2.4878903081683332,2.607379297210794
Movimento,chique,75,2.37,2.57,2.448735426820005,2.508587014398758
Orgânico,linda,1402,3.03,2.88,2.981069858709571,2.798638538732334
Orgânico,paz,508,2.83,1.44,2.8166024415030324,1.4801210790090749
Orgânico,feliz,392,2.95,2.7,2.9194367704253374,2.6280226509324494
Orgânico,vibe,334,3.09,2.74,3.044079573780741,2.6827723278520517
Orgânico,maravilhosa,331,3.15,2.93,3.090617968960544,2.8995648466876043
Orgânico,chore,67,2.72,1.6,2.7395633625975337,1.5376724496378276
Orgânico,chorando,38,1.76,3.0,1.7881509234294517,3.0528348287232263
Orgânico,suave,23,3.09,1.0,3.09486617798613,0.9485331758330662
Orgânico,relaxar,21,2.9,1.38,2.9716593209361126,1.3012736108333554
Orgânico,tranquilidade,16,3.31,0.5,3.292372832184215,0.507934735695369
Reflexo,amo,1908,3.1,2.76,3.023938509676599,2.7616710868464978
Reflexo,amei,872,3.04,2.92,3.0600276311349908,2.911874177037023
Reflexo,amor,693,2.78,2.6,2.78862436147801,2.539487108736308
Reflexo,gosto,590,2.87,2.69,2.945687898687653,2.7342133610948163
Reflexo,coração,364,2.85,2.84,2.868540510124639,2.838610313309422
Reflexo,lembro,265,2.83,2.98,2.881204744835626,3.0312760803514616
Reflexo,graça,100,2.38,2.89,2.3811348996172264,2.83179770696918
Reflexo,dispara,89,2.76,3.02,2.753396205214002,2.9975833155479936
Reflexo,penso,76,2.63,2.21,2.636807018405236,2.1414282904857664
Reflexo,calma,54,2.96,2.07,2.9269822849361136,2.066529048160151
Tradição,top,824,3.36,3.28,3.300206026783164,3.232758284557998
Tradição,perfeita,330,3.08,2.66,3.1585867315263756,2.6605692950932998
Tradição,ruim,313,1.28,2.92,1.3204047063508544,2.9461054597072214
Tradição,gostei,295,2.83,2.87,2.8220682456502955,2.8703291911366495
Tradição,lixo,167,1.08,3.02,1.061971151992646,3.040389583837353
Tradição,viciada,154,2.89,3.16,2.8542577860716327,3.1761072599437017
Tradição,pedrada,125,1.74,2.96,1.8152537039986114,3.022589907575219
Tradição,inferno,118,1.5,2.72,1.4793568896837614,2.743081073806825
Tradição,pancada,87,1.63,3.08,1.670018763404665,3.011019563212596
Tradição,recordações,86,1.76,2.56,1.7539305119728628,2.6137033793834648
